| appname | description | site | download | version |
|---------|-------------|------|----------|---------|
| 0ad | Unofficial. FOSS historical Real Time Strategy, RTS game of ancient warfare | https://github.com/0ad-matters/0ad-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/0ad%2Fx86_64-Linux%2F0270/0ad | 0.27.0 |
| 0ad-latest | 0 A.D. (pronounced “zero-ey-dee”) is a free, open-source, historical | https://github.com/0ad-matters/0ad-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/0ad-latest%2Fx86_64-Linux%2F0ad/0ad-latest | 0ad |
| 0ad-prerelease | Unofficial. FOSS historical Real Time Strategy, RTS game of ancient warfare (Pre-release) | https://github.com/0ad-matters/0ad-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/0ad-prerelease%2Fx86_64-Linux%2F0ad/0ad-prerelease | 0ad |
| 2ship | 2 Ship 2 Harkinian game | https://github.com/HarbourMasters/2ship2harkinian | https://huggingface.co/datasets/pkgforge/AMcache/resolve/2ship%2Fx86_64-Linux%2F112/2ship | 1.1.2 |
| 3d-puzzles | 3D-Puzzles are Rubik, Dogic and Dogic12 | https://github.com/volatilflerovium/3D-Puzzles | https://huggingface.co/datasets/pkgforge/AMcache/resolve/3d-puzzles%2Fx86_64-Linux%2F3D/3d-puzzles | 3D |
| 432hz-player | Because most music is recorded in 440hz, Audio Player | https://github.com/mysteryx93/NaturalGroundingPlayer | https://huggingface.co/datasets/pkgforge/AMcache/resolve/432hz-player%2Fx86_64-Linux%2FPlayer432Hz/432hz-player | Player432Hz |
| 7zip | 7-Zip is a file archiver with a high compression ratio | https://github.com/xplshn/dbin | https://huggingface.co/datasets/pkgforge/AMcache/resolve/7zip%2Fx86_64-Linux%2F7z2409/7zip.bundle.tar.zstd | 7z2409 |
| 86box | Emulator of x86-based machines based on PCem | https://github.com/86Box/86Box | https://huggingface.co/datasets/pkgforge/AMcache/resolve/86box%2Fx86_64-Linux%2F421/86box | 4.2.1 |
| 9launcher | An actively maintained and cross platform remake of Touhou Relauncher | https://github.com/wearrrrr/9Launcher | https://huggingface.co/datasets/pkgforge/AMcache/resolve/9launcher%2Fx86_64-Linux%2F131/9launcher | 1.3.1 |
| aaaaxy | A nonlinear puzzle platformer, game | https://github.com/divVerent/aaaaxy | https://huggingface.co/datasets/pkgforge/AMcache/resolve/aaaaxy%2Fx86_64-Linux%2F16241/aaaaxy | 1.6.241 |
| abiword | Unofficial. A light and free word processing software | https://github.com/ivan-hc/Abiword-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/abiword%2Fx86_64-Linux%2F306/abiword | 3.0.6 |
| accessimap-lecteur-der | Accessimap Lecteur DER | https://github.com/makinacorpus/accessimap-lecteur-der | https://huggingface.co/datasets/pkgforge/AMcache/resolve/accessimap-lecteur-der%2Fx86_64-Linux%2F0034/accessimap-lecteur-der | 0.0.34 |
| acestream | AppImage з AceStream Media | https://github.com/bro2020/acestream-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/acestream%2Fx86_64-Linux%2F323/acestream | 3.2.3 |
| acreom | Acreom desktop app releases | https://github.com/Acreom/releases | https://huggingface.co/datasets/pkgforge/AMcache/resolve/acreom%2Fx86_64-Linux%2F1202/acreom | 1.20.2 |
