| appname | description | site | download | version |
|---------|-------------|------|----------|---------|
| akregator | KDE RSS feed reader | https://invent.kde.org/pim/akregator | oci://ghcr.io/pkgforge/pkgcache/akregator/runimage/alpine/stable/akregator:25.04.0-x86_64-linux | 25.04.0 |
| anipy-cli | Watch and Download Anime from the terminal | https://pypi.org/project/anipy-cli | oci://ghcr.io/pkgforge/pkgcache/anipy-cli/archive/sharun/pypi/anipy-cli:3.5.8-x86_64-linux | 3.5.8 |
| apprise | Send notifications from the command-line to popular notification services | https://pypi.org/project/apprise | oci://ghcr.io/pkgforge/pkgcache/apprise/archive/sharun/pypi/apprise:1.9.3-x86_64-linux | 1.9.3 |
| aqtinstall | Qt CLI Installer on multi-platforms | https://pypi.org/project/aqtinstall | oci://ghcr.io/pkgforge/pkgcache/aqtinstall/archive/sharun/pypi/aqtinstall:3.3.0-x86_64-linux | 3.3.0 |
| archey | A simple system information tool written in Python | https://pypi.org/project/archey4 | oci://ghcr.io/pkgforge/pkgcache/archey/archive/sharun/pypi/archey:4.15.0.0-x86_64-linux | 4.15.0.0 |
| archey | A simple system information tool written in Python | https://github.com/HorlogeSkynet/archey4 | oci://ghcr.io/pkgforge/pkgcache/archey/archive/sharun/source/archey:HEAD-f9e98a2-250302T200506-x86_64-linux | HEAD-f9e98a2-250302T200506 |
| audiobook-dl | Audiobook CLI downloader | https://pypi.org/project/audiobook-dl | oci://ghcr.io/pkgforge/pkgcache/audiobook-dl/archive/sharun/pypi/audiobook-dl:0.7.3-x86_64-linux | 0.7.3 |
| aws | Universal Command Line Interface for Amazon Web Services | https://pypi.org/project/awscli | oci://ghcr.io/pkgforge/pkgcache/awscli/archive/sharun/pypi/aws:1.40.27-x86_64-linux | 1.40.27 |
| baddns | Tool to check subdomains for subdomain takeovers and other DNS issues | https://pypi.org/project/baddns | oci://ghcr.io/pkgforge/pkgcache/baddns/archive/sharun/pypi/baddns:1.9.132-x86_64-linux | 1.9.132 |
| bear | Generate a compilation database for clang tooling | https://github.com/rizsotto/Bear | oci://ghcr.io/pkgforge/pkgcache/bear/appimage/ppkg/stable/bear:3.1.6-x86_64-linux | 3.1.6 |
| beet | Flexible music library manager and tagger | https://pypi.org/project/beets | oci://ghcr.io/pkgforge/pkgcache/beet/archive/sharun/pypi/beet:2.3.1-x86_64-linux | 2.3.1 |
| binutils | Tools for manipulating binaries (linker, assembler, etc.) [alias=bintools] | https://sourceware.org/git/gitweb.cgi?p=binutils-gdb.git | oci://ghcr.io/pkgforge/pkgcache/binutils/appimage/ppkg/stable/binutils:2.43.1-x86_64-linux | 2.43.1 |
| blender | A fully integrated 3D graphics creation suite | https://blender.org | oci://ghcr.io/pkgforge/pkgcache/blender/runimage/debian/stable/blender:4.3.2-x86_64-linux | 4.3.2 |
