| appname | description | site | download | version |
|---------|-------------|------|----------|---------|
| act | Run your GitHub Actions locally | https://github.com/nektos/act | oci://ghcr.io/pkgforge/bincache/act/official/act:v0.2.78-riscv64-linux | v0.2.78 |
| bintools/addr2line | Converts addresses into filenames and line numbers [bintools] | https://sourceware.org/git/gitweb.cgi?p=binutils-gdb.git | oci://ghcr.io/pkgforge/bincache/bintools/nixpkgs/addr2line:2.44-riscv64-linux | 2.44 |
| util-linux/addpart | Tell the kernel about the existence of a specified partition [util-linux] | https://github.com/util-linux/util-linux | oci://ghcr.io/pkgforge/bincache/util-linux/nixpkgs/addpart:2.41-riscv64-linux | 2.41 |
| afio | Archiver & backup program with fault tolerant compression | https://github.com/kholtman/afio | oci://ghcr.io/pkgforge/bincache/afio/nixpkgs/afio:2.5.2-riscv64-linux | 2.5.2 |
| util-linux/agetty | Open a tty and prompt for login (acts as an alternative Linux getty) [util-linux] | https://github.com/util-linux/util-linux | oci://ghcr.io/pkgforge/bincache/util-linux/nixpkgs/agetty:2.41-riscv64-linux | 2.41 |
| alist | A file list/WebDAV program that supports multiple storages | https://github.com/alist-org/alist | oci://ghcr.io/pkgforge/bincache/alist/official/alist:v3.45.0-riscv64-linux | v3.45.0 |
| ani-cli | CLI to browse and watch anime | https://github.com/pystardust/ani-cli | oci://ghcr.io/pkgforge/bincache/ani-cli/official/ani-cli:HEAD-c5877c5-250516T093111-riscv64-linux | HEAD-c5877c5-250516T093111 |
| apk | Make reverse engineering Android apps easier | https://github.com/ax/apk.sh | oci://ghcr.io/pkgforge/bincache/apk.sh/official/apk.sh:HEAD-69e5011-250520T151532-riscv64-linux | HEAD-69e5011-250520T151532 |
| net-tools/arp | Manipulate the system ARP cache | https://git.code.sf.net/p/net-tools/code | oci://ghcr.io/pkgforge/bincache/net-tools/nixpkgs/arp:2.10-riscv64-linux | 2.10 |
| binutils/as | The GNU Assembler [binutils] | https://sourceware.org/git/gitweb.cgi?p=binutils-gdb.git | oci://ghcr.io/pkgforge/bincache/binutils/nixpkgs/as:2.44-riscv64-linux | 2.44 |
| iputils/arping | Send ARP REQUEST to a neighbour host [iputils] | https://github.com/iputils/iputils | oci://ghcr.io/pkgforge/bincache/iputils/nixpkgs/arping:20240905-riscv64-linux | 20240905 |
| binutils/ar | A utility for creating, modifying and extracting from archives [binutils] | https://sourceware.org/git/gitweb.cgi?p=binutils-gdb.git | oci://ghcr.io/pkgforge/bincache/binutils/nixpkgs/ar:2.44-riscv64-linux | 2.44 |
| bintools/as | The GNU Assembler [bintools] | https://sourceware.org/git/gitweb.cgi?p=binutils-gdb.git | oci://ghcr.io/pkgforge/bincache/bintools/nixpkgs/as:2.44-riscv64-linux | 2.44 |
| outils/apply | Apply a command to a set of arguments [outils] | https://github.com/leahneukirchen/outils | oci://ghcr.io/pkgforge/bincache/outils/nixpkgs/apply:0.13-riscv64-linux | 0.13 |
| iproute2/arpd | Userspace arp daemon [iproute2] | https://github.com/iproute2/iproute2 | oci://ghcr.io/pkgforge/bincache/iproute2/nixpkgs/arpd:6.14.0-riscv64-linux | 6.14.0 |
| bintools/ar | A utility for creating, modifying and extracting from archives [bintools] | https://sourceware.org/git/gitweb.cgi?p=binutils-gdb.git | oci://ghcr.io/pkgforge/bincache/bintools/nixpkgs/ar:2.44-riscv64-linux | 2.44 |
| asn | OSINT command line tool for investigating network data | https://github.com/nitefood/asn | oci://ghcr.io/pkgforge/bincache/asn/official/asn:HEAD-b7ca0e0-250322T103728-riscv64-linux | HEAD-b7ca0e0-250322T103728 |
| gettext/autopoint | Copies standard gettext infrastructure files into a source package [gettext] | https://git.savannah.gnu.org/gitweb/?p=gettext.git | oci://ghcr.io/pkgforge/bincache/gettext/nixpkgs/autopoint:0.22.5-riscv64-linux | 0.22.5 |
| e2fsprogs/badblocks | Search a device for bad blocks [e2fsprogs] | https://github.com/tytso/e2fsprogs | oci://ghcr.io/pkgforge/bincache/e2fsprogs/nixpkgs/badblocks:1.47.2-riscv64-linux | 1.47.2 |
| execline/background | Launch a command in the background [execline] | https://github.com/skarnet/execline | oci://ghcr.io/pkgforge/bincache/execline/ppkg/stable/background:2.9.6.1-riscv64-linux | 2.9.6.1 |
| bash | GNU Bourne-Again Shell, the de facto standard shell on Linux | https://git.savannah.gnu.org/cgit/bash.git | oci://ghcr.io/pkgforge/bincache/bash/nixpkgs/bash:5.2p37-riscv64-linux | 5.2p37 |
