| appname | description | site | download | version |
|---------|-------------|------|----------|---------|
| 0ad | ----------------------------------------------------------------------------- | https://github.com/0ad-matters/0ad-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/0ad%2Fx86_64-Linux%2F0270/0ad | 0.27.0 |
| 0ad-latest | 0 A.D. (pronounced “zero-ey-dee”) is a free, open-source, historical | https://github.com/0ad-matters/0ad-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/0ad-latest%2Fx86_64-Linux%2F0ad/0ad-latest | 0ad |
| 0ad-prerelease | ----------------------------------------------------------------------------- | https://github.com/0ad-matters/0ad-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/0ad-prerelease%2Fx86_64-Linux%2F0ad/0ad-prerelease | 0ad |
| 2ship | ----------------------------------------------------------------------------- | https://github.com/HarbourMasters/2ship2harkinian | https://huggingface.co/datasets/pkgforge/AMcache/resolve/2ship%2Fx86_64-Linux%2F112/2ship | 1.1.2 |
| 3d-puzzles | ----------------------------------------------------------------------------- | https://github.com/volatilflerovium/3D-Puzzles | https://huggingface.co/datasets/pkgforge/AMcache/resolve/3d-puzzles%2Fx86_64-Linux%2F3D/3d-puzzles | 3D |
| 432hz-player | ----------------------------------------------------------------------------- | https://github.com/mysteryx93/NaturalGroundingPlayer | https://huggingface.co/datasets/pkgforge/AMcache/resolve/432hz-player%2Fx86_64-Linux%2FPlayer432Hz/432hz-player | Player432Hz |
| 7zip | ----------------------------------------------------------------------------- | https://github.com/xplshn/dbin | https://huggingface.co/datasets/pkgforge/AMcache/resolve/7zip%2Fx86_64-Linux%2F7z2409/7zip.bundle.tar.zstd | 7z2409 |
| 86box | ----------------------------------------------------------------------------- | https://github.com/86Box/86Box | https://huggingface.co/datasets/pkgforge/AMcache/resolve/86box%2Fx86_64-Linux%2F421/86box | 4.2.1 |
| 9launcher | ----------------------------------------------------------------------------- | https://github.com/wearrrrr/9Launcher | https://huggingface.co/datasets/pkgforge/AMcache/resolve/9launcher%2Fx86_64-Linux%2F131/9launcher | 1.3.1 |
| aaaaxy | ----------------------------------------------------------------------------- | https://github.com/divVerent/aaaaxy | https://huggingface.co/datasets/pkgforge/AMcache/resolve/aaaaxy%2Fx86_64-Linux%2F16241/aaaaxy | 1.6.241 |
