| appname | description | site | download | version |
|---------|-------------|------|----------|---------|
| go-ast-book/0x-001 | :books: 《Go语言定制指南》_原名：Go语法树入门/开源免费图书/Go语言进阶/掌握抽象语法树/Go语言AST_ | https://github.com/chai2010/go-ast-book/archive/6bb3a6f0f776d358245f1ae3e56da15f0a17e097.tar.gz | oci://ghcr.io/pkgforge-go/github/chai2010/go-ast-book/0x-001:HEAD-6bb3a6f-240926T085033-x86_64-Linux | HEAD-6bb3a6f-240926T085033 |
| go-ast-book/10 | :books: 《Go语言定制指南》_原名：Go语法树入门/开源免费图书/Go语言进阶/掌握抽象语法树/Go语言AST_ | https://github.com/chai2010/go-ast-book/archive/6bb3a6f0f776d358245f1ae3e56da15f0a17e097.tar.gz | oci://ghcr.io/pkgforge-go/github/chai2010/go-ast-book/10:HEAD-6bb3a6f-240926T085033-x86_64-Linux | HEAD-6bb3a6f-240926T085033 |
| go-ast-book/04 | :books: 《Go语言定制指南》_原名：Go语法树入门/开源免费图书/Go语言进阶/掌握抽象语法树/Go语言AST_ | https://github.com/chai2010/go-ast-book/archive/6bb3a6f0f776d358245f1ae3e56da15f0a17e097.tar.gz | oci://ghcr.io/pkgforge-go/github/chai2010/go-ast-book/04:HEAD-6bb3a6f-240926T085033-x86_64-Linux | HEAD-6bb3a6f-240926T085033 |
| clickhouse-go/485 | Golang driver for ClickHouse | https://github.com/ClickHouse/clickhouse-go/archive/a27396fbf07ca38de1d452c5b366b3a37ce45f56.tar.gz | oci://ghcr.io/pkgforge-go/github/clickhouse/clickhouse-go/485:HEAD-a27396f-250617T073600-x86_64-Linux | HEAD-a27396f-250617T073600 |
| playReady/2025-05 | playReady implementation | https://github.com/3052/playReady/archive/e216d0c82a74a729942e682d1ebaa3d6b05c93f7.tar.gz | oci://ghcr.io/pkgforge-go/github/3052/playready/2025-05:HEAD-e216d0c-250618T200058-x86_64-Linux | HEAD-e216d0c-250618T200058 |
| python3/2to3 | Python2 to Python3 converter [python3] | https://github.com/python/cpython | oci://ghcr.io/pkgforge/bincache/python3/nixpkgs/2to3:3.12.10-x86_64-linux | 3.12.10 |
| a | A graphical text editor | https://github.com/as/a/archive/9923b92846c2f546fba85dc139b1af8508e66874.tar.gz | oci://ghcr.io/pkgforge-go/github/as/a/a:HEAD-9923b92-210823T144511-x86_64-Linux | HEAD-9923b92-210823T144511 |
| bsc/abigen | A BNB Smart Chain client based on the go-ethereum fork | https://github.com/bnb-chain/bsc/archive/7e84843f135986a004f65205b357f4bedc461a30.tar.gz | oci://ghcr.io/pkgforge-go/github/bnb-chain/bsc/abigen:HEAD-7e84843-250617T165231-x86_64-Linux | HEAD-7e84843-250617T165231 |
| abbreviate | Supporting your devops by shortening your strings using common abbreviations and clever guesswork | https://github.com/dnnrly/abbreviate/archive/c8aeae401928371020a2a695aa1ca2ca50d739b4.tar.gz | oci://ghcr.io/pkgforge-go/github/dnnrly/abbreviate/abbreviate:HEAD-c8aeae4-240711T151101-x86_64-Linux | HEAD-c8aeae4-240711T151101 |
| cometbft/abci-cli | CometBFT: A distributed, Byzantine fault-tolerant, deterministic state machine replication engine. A fork and successor to Tendermint Core. | https://github.com/cometbft/cometbft/archive/e1a860489ecc91290453487e08863a037f828c6d.tar.gz | oci://ghcr.io/pkgforge-go/github/cometbft/cometbft/abci-cli:HEAD-e1a8604-250617T215526-x86_64-Linux | HEAD-e1a8604-250617T215526 |
| clickhouse-go/484 | Golang driver for ClickHouse | https://github.com/ClickHouse/clickhouse-go/archive/a27396fbf07ca38de1d452c5b366b3a37ce45f56.tar.gz | oci://ghcr.io/pkgforge-go/github/clickhouse/clickhouse-go/484:HEAD-a27396f-250617T073600-x86_64-Linux | HEAD-a27396f-250617T073600 |
| clickhouse-go/360 | Golang driver for ClickHouse | https://github.com/ClickHouse/clickhouse-go/archive/a27396fbf07ca38de1d452c5b366b3a37ce45f56.tar.gz | oci://ghcr.io/pkgforge-go/github/clickhouse/clickhouse-go/360:HEAD-a27396f-250617T073600-x86_64-Linux | HEAD-a27396f-250617T073600 |
