| appname | description | site | download | version |
|---------|-------------|------|----------|---------|
| 86box | Emulator of x86-based machines | https://github.com/86Box/86Box/releases | https://github.com/86Box/86Box/releases/download/v4.2.1/86Box-NDR-Linux-arm64-b6130.AppImage | v4.2.1 |
| altair | The best graphQL client you will ever need | https://github.com/imolorhe/altair/releases | https://github.com/altair-graphql/altair/releases/download/v8.2.5/altair_8.2.5_arm64_linux.AppImage | v8.2.5 |
| antares | A cross-platform easy to use SQL client | https://github.com/Fabio286/antares/releases | https://github.com/antares-sql/antares/releases/download/v0.7.35/Antares-0.7.35-linux_arm64.AppImage | v0.7.35 |
| appimagecraft | Powerful build script generator with a focus on making AppImages | https://github.com/TheAssassin/appimagecraft/releases | https://github.com/TheAssassin/appimagecraft/releases/download/continuous/appimagecraft-aarch64.AppImage | continuous |
| appimagetool | appimagetool is a tool that lets you generate AppImage files. An AppImage is a self-running bundle that contains an application and everything it needs to run that cannot reasonably expected to be part of each target system. This can include libraries that are not commonly available on target systems, resources such as translations, icons, fonts, and other auxiliary files. appimagetool makes it easy to take an AppDir (e.g., generated by linuxdeployqt) and turn it into an AppImage. You can also embed update information so that your users can update the AppImage using binary delta updates with the AppImageUpdate tool. You can also sign the AppImage with GPG | https://github.com/AppImage/appimagetool/releases | https://github.com/AppImage/appimagetool/releases/download/continuous/appimagetool-aarch64.AppImage | continuous |
| appimageupdate | AppImageUpdate updates AppImages based on the update information embedded in AppImages | https://github.com/AppImage/AppImageUpdate/releases | https://github.com/AppImageCommunity/AppImageUpdate/releases/download/continuous/AppImageUpdate-aarch64.AppImage | continuous |
| arcademanager | Arcade games manager to be used with Retropie and Recalbox | https://github.com/cosmo0/arcade-manager/releases | https://github.com/cosmo0/arcade-manager/releases/download/v7.1/ArcadeManager-7.1-linux-arm64.AppImage | v7.1 |
| avantgarde | Avant Garde is a XAML previewer for the C# Avalonia Framework. Avant Garde is a standalone application, rather than an IDE extension. This means you can use it in conjunction with any IDE | https://github.com/kuiperzone/AvantGarde/releases | https://github.com/kuiperzone/AvantGarde/releases/download/v1.0.2/AvantGarde-aarch64.AppImage | v1.0.2 |
| basiliskii | Basilisk II is a Mac OS emulator that allows you to run classic 68k Macintosh II applications (1980s-1990s era). Prerequisites: 68k Macintosh ROM image and a copy of MacOS. Some features of Basilisk II: Emulates a Mac II series machine (which runs MacOS 7.x, 8.0 and 8.1). Color video display CD quality sound output Floppy disk driver (only 1.44MB disks supported) Driver for HFS partitions and hardfiles CD-ROM driver with basic audio functions Easy file exchange with the host OS via a &quot;Unix&quot; icon on the Mac desktop Ethernet driver Serial drivers SCSI Manager (old-style) emulation Emulates extended ADB keyboard and 3-button mouse Uses UAE 68k emulation | https://github.com/Korkman/macemu-appimage-builder/releases | https://github.com/Korkman/macemu-appimage-builder/releases/download/continuous/SheepShaver-aarch64.AppImage | continuous |
| beekeeper_studio | An easy-to use SQL query editor and database UI for Mac, Windows, and Linux | https://github.com/beekeeper-studio/beekeeper-studio/releases | https://github.com/beekeeper-studio/beekeeper-studio/releases/download/v5.2.12/Beekeeper-Studio-5.2.12-arm64.AppImage | v5.2.12 |
| buckets | Buckets Family Budgeting | https://github.com/buckets/application/releases | https://github.com/buckets/application/releases/download/v0.80.0/Buckets-linux-latest-arm64-0.80.0.AppImage | v0.80.0 |
| buttercup | Free and Open Source password vault | https://github.com/buttercup/buttercup-desktop/releases | https://github.com/buttercup/buttercup-desktop/releases/download/v2.28.1/Buttercup-linux-arm64.AppImage | v2.28.1 |
| carta | The Cube Analysis and Rendering Tool for Astronomy is a next-generation image visualization and analysis tool designed for ALMA, VLA, and SKA pathfinders | https://github.com/CARTAvis/carta/releases | https://github.com/CARTAvis/carta/releases/download/v5.0.0-beta.1/carta.AppImage.v5.0.0-beta.1.aarch64.tgz | v5.0.0-beta.1 |
| cbeta | CBETA 電子佛典閱讀器2(非官方)，使用 CBETA API 存取電子佛經。 | https://github.com/MrMYHuang/cbetar2/releases | https://github.com/MrMYHuang/cbetar2/releases/download/v22.0.0/cbetar2_22.0.0_linux_arm64.AppImage | v22.0.0 |
| clownmaped | A sprite editor for Sonic 1, Sonic 2, Sonic 3, and Sonic &amp; Knuckles, intended to provide a free software, multiplatform drop-in replacement for SonMapEd. It is able to modify tiles, palettes, sprite mappings, and dynamic pattern load cues (DPLCs) | https://github.com/Clownacy/ClownMapEd/releases | https://github.com/Clownacy/ClownMapEd/releases/download/v1.2.0.2/ClownMapEd-v1.2.0.2-aarch64.AppImage | v1.2.0.2 |
| clownmdemu | An emulator for the Sega Mega Drive/Sega Genesis, featuring a suite of debugging tools to assist in the development of homebrew and ROM-hacks | https://github.com/Clownacy/clownmdemu-frontend/releases | https://github.com/Clownacy/clownmdemu-frontend/releases/download/v1.4/ClownMDEmu-v1.4-aarch64.AppImage | v1.4 |
| cncjs | CNC Milling Controller | https://github.com/cncjs/cncjs/releases | https://github.com/cncjs/cncjs/releases/download/v1.10.5/cncjs-app-1.10.5-linux-arm64.AppImage | v1.10.5 |
| converter432hz | Converts and re-encodes music to 432Hz | https://github.com/mysteryx93/HanumanInstituteApps/releases | https://github.com/mysteryx93/HanumanInstituteApps/releases/download/v3.3.2/Converter432Hz-3.3.2_Linux_arm64.AppImage | v3.3.2 |
| cpu-x | CPU-X is a Free software that gathers information on CPU, motherboard and more. CPU-X is similar to CPU-Z (Windows), but CPU-X is a Free and Open Source software designed for GNU/Linux; also, it works on *BSD. This software is written in C and built with CMake tool. It can be used in graphical mode by using GTK or in text-based mode by using NCurses. A dump mode is present from command line | https://github.com/X0rg/CPU-X/releases | https://github.com/TheTumultuousUnicornOfDarkness/CPU-X/releases/download/continuous/CPU-X--aarch64.AppImage | continuous |
| crossmobile | Create native iOS, Android, Windows Phone and Desktop applications in Java. Just write it once and produce sophisticated multiplatform applications | https://github.com/crossmob/CrossMobile/releases | https://github.com/crossmob/CrossMobile/releases/download/v3.4.0/CrossMobile-3.4.0.aarch64.appimage | v3.4.0 |
| cryptomator | Cryptomator provides easy-to-use, transparent, client-side encryption for your cloud. It protects your documents from unauthorized access and prying eyes, while you will still be able to view and edit your documents locally. By not requiring any registration or account and performing all encryption locally, it gives you back control over your data and ensures your privacy. Cryptomator is offered for all major platforms (including Android and iOS). Cryptomator encrypts file contents and names using the widespread industry standard AES. Your passphrase is protected against brute forcing attempts using scrypt. Additionally, directory structures get obfuscated. For more info about the Cryptomator encryption scheme, check out the online documentation. Cryptomator is a free and open-source software licensed under the GPLv3. This allows anyone to check our code. Thus, it is impossible to introduce backdoors for third parties or to hide vulnerabilities, so you do not need to trust Cryptomator. Also, vendor lock-ins are impossible. Even if we decided to stop development: The source code is already cloned by hundreds of other developers and development can be picked up by others | https://github.com/cryptomator/cryptomator/releases | https://github.com/cryptomator/cryptomator/releases/download/1.17.0/cryptomator-1.17.0-aarch64.AppImage | 1.17.0 |
| dbgate | Opensource database administration tool | https://github.com/dbgate/dbgate/releases | https://github.com/dbgate/dbgate/releases/download/v6.5.4/dbgate-latest-arm64.AppImage | v6.5.4 |
